studentid,cgpa,internships,projects,certifications,aptitudetestscore,softskillsrating,extracurricularactivities,placementtraining,ssc_marks,hsc_marks,placementstatus
3133,7.6,0,1,1,71.0,3.9,No,Yes,66.0,65.0,NotPlaced
3248,8.4,1,3,0,76.0,4.7,Yes,Yes,72.0,74.0,Placed
5583,8.8,1,2,2,77.0,4.3,Yes,Yes,74.0,79.0,Placed
7862,8.0,2,3,2,86.0,4.8,Yes,Yes,78.0,85.0,Placed
1764,8.5,2,3,2,90.0,4.8,Yes,Yes,79.0,81.0,Placed
437,8.4,1,1,2,84.0,4.8,Yes,Yes,82.0,68.0,Placed
6456,7.6,1,1,1,68.0,4.3,Yes,Yes,64.0,71.0,NotPlaced
6545,8.0,1,1,2,86.0,4.6,Yes,Yes,77.0,84.0,NotPlaced
4310,6.5,1,1,1,74.0,4.0,No,No,87.0,67.0,NotPlaced
3705,7.1,1,1,1,69.0,3.4,No,Yes,55.0,65.0,NotPlaced
8345,8.4,1,3,0,75.0,4.4,Yes,Yes,68.0,86.0,Placed
6002,7.2,1,1,0,61.0,3.5,No,No,55.0,69.0,NotPlaced
4999,7.5,1,2,0,83.0,4.2,No,Yes,60.0,71.0,NotPlaced
9453,7.4,0,1,3,66.0,3.3,No,Yes,63.0,71.0,NotPlaced
9318,7.7,1,3,2,70.0,3.8,Yes,Yes,76.0,80.0,NotPlaced
6332,8.6,1,3,3,81.0,3.9,Yes,Yes,75.0,84.0,Placed
9283,8.8,0,3,0,88.0,4.6,Yes,Yes,65.0,84.0,Placed
870,8.4,1,3,2,88.0,4.8,Yes,Yes,80.0,85.0,Placed
5864,6.6,0,2,0,83.0,4.8,Yes,Yes,82.0,88.0,Placed
2695,7.6,1,2,0,73.0,4.4,No,Yes,56.0,66.0,Placed
5193,6.5,1,2,0,70.0,3.4,No,No,58.0,72.0,NotPlaced
2271,8.0,0,2,2,83.0,4.6,Yes,Yes,82.0,78.0,NotPlaced
7261,6.8,2,2,0,76.0,4.2,No,Yes,59.0,65.0,NotPlaced
4159,8.2,1,1,1,66.0,3.6,No,Yes,62.0,69.0,NotPlaced
7621,7.6,0,2,0,84.0,4.0,Yes,Yes,70.0,86.0,Placed
1540,7.5,1,2,1,78.0,4.8,No,Yes,55.0,62.0,NotPlaced
3940,8.3,2,3,2,90.0,4.7,Yes,No,87.0,87.0,Placed
201,8.6,1,3,2,90.0,4.7,Yes,Yes,68.0,84.0,Placed
2972,8.6,0,3,1,81.0,4.6,Yes,Yes,74.0,85.0,Placed
4988,7.6,2,2,2,83.0,4.8,Yes,Yes,71.0,85.0,Placed
7023,8.3,2,1,2,79.0,4.2,Yes,Yes,58.0,87.0,Placed
1282,7.7,1,3,0,81.0,4.1,Yes,Yes,77.0,68.0,Placed
4499,8.0,1,3,0,81.0,4.3,Yes,Yes,72.0,71.0,NotPlaced
4187,8.3,2,3,2,90.0,4.8,Yes,Yes,80.0,84.0,Placed
8982,8.2,2,3,0,81.0,4.8,Yes,No,85.0,80.0,Placed
8472,8.4,1,3,2,90.0,4.2,Yes,Yes,89.0,88.0,Placed
9451,8.6,2,3,2,90.0,4.8,Yes,Yes,80.0,82.0,Placed
943,6.5,2,3,0,82.0,4.3,No,Yes,56.0,70.0,NotPlaced
3656,7.4,1,1,1,70.0,3.8,No,No,56.0,71.0,NotPlaced
482,7.1,1,2,0,80.0,4.3,Yes,Yes,69.0,65.0,NotPlaced
8462,8.5,1,3,2,90.0,4.8,Yes,Yes,82.0,88.0,Placed
2420,7.6,0,2,0,68.0,3.9,No,Yes,64.0,61.0,NotPlaced
6362,8.0,1,3,2,90.0,4.8,Yes,Yes,76.0,84.0,Placed
4240,6.6,0,3,0,85.0,4.7,Yes,Yes,62.0,86.0,Placed
8198,8.6,2,3,2,87.0,4.7,Yes,Yes,86.0,84.0,Placed
5794,7.7,2,1,0,68.0,4.6,No,No,65.0,62.0,NotPlaced
6049,6.7,0,1,0,65.0,4.3,No,Yes,55.0,58.0,NotPlaced
398,7.9,1,3,0,88.0,4.7,Yes,Yes,87.0,85.0,Placed
4084,8.1,1,3,0,90.0,4.4,Yes,Yes,89.0,80.0,Placed
3498,6.5,0,1,0,81.0,4.2,No,No,55.0,69.0,NotPlaced
8130,6.6,1,1,0,82.0,3.9,Yes,No,73.0,78.0,NotPlaced
1624,7.4,1,3,3,84.0,4.6,Yes,Yes,84.0,76.0,Placed
5814,7.6,1,1,2,75.0,4.8,No,Yes,60.0,68.0,NotPlaced
623,8.3,1,2,2,88.0,4.4,Yes,Yes,78.0,86.0,Placed
377,8.1,1,3,2,90.0,4.7,Yes,Yes,70.0,85.0,Placed
1489,8.3,0,3,0,76.0,3.9,No,No,57.0,61.0,NotPlaced
967,7.4,1,1,1,63.0,4.2,No,Yes,55.0,68.0,NotPlaced
4091,7.4,0,2,1,65.0,4.4,No,No,61.0,70.0,NotPlaced
6390,6.5,1,1,0,86.0,3.4,No,Yes,59.0,65.0,NotPlaced
996,7.7,1,2,1,76.0,4.7,Yes,Yes,73.0,88.0,NotPlaced
2811,6.5,1,2,1,89.0,4.6,No,Yes,75.0,73.0,NotPlaced
3204,8.6,2,3,2,90.0,4.7,Yes,Yes,75.0,88.0,Placed
876,7.7,1,1,1,71.0,4.3,Yes,No,57.0,71.0,NotPlaced
7916,8.0,1,3,3,85.0,4.7,Yes,Yes,79.0,84.0,NotPlaced
2757,8.4,2,3,2,90.0,4.8,Yes,Yes,81.0,81.0,Placed
1618,8.1,2,1,3,86.0,4.7,Yes,No,78.0,83.0,Placed
9239,6.5,1,2,0,69.0,3.7,No,No,55.0,66.0,NotPlaced
3631,6.5,1,2,1,78.0,3.8,No,No,55.0,62.0,NotPlaced
8755,8.4,2,3,2,90.0,4.8,Yes,Yes,80.0,87.0,Placed
3864,6.8,1,2,2,84.0,4.1,Yes,Yes,55.0,67.0,Placed
6320,6.5,1,1,0,87.0,4.3,No,No,55.0,74.0,NotPlaced
5833,6.5,1,2,2,90.0,4.8,No,Yes,70.0,68.0,NotPlaced
2627,6.6,1,1,0,87.0,4.8,No,No,56.0,65.0,NotPlaced
8629,8.0,1,1,2,87.0,4.1,Yes,Yes,74.0,68.0,Placed
9138,7.8,2,3,0,83.0,4.4,Yes,No,85.0,83.0,NotPlaced
6988,6.7,1,2,0,80.0,3.5,No,No,59.0,73.0,NotPlaced
284,8.5,0,2,0,81.0,3.2,No,Yes,55.0,63.0,NotPlaced
4335,8.4,2,3,2,90.0,4.8,Yes,Yes,87.0,80.0,Placed
1725,8.2,1,3,2,82.0,4.5,Yes,Yes,83.0,81.0,Placed
1852,7.4,1,3,2,70.0,4.7,Yes,Yes,74.0,86.0,NotPlaced
7959,8.1,1,3,2,90.0,4.7,Yes,Yes,80.0,84.0,Placed
1105,7.5,0,1,1,67.0,3.6,No,No,63.0,72.0,NotPlaced
2588,8.8,1,1,0,69.0,4.7,Yes,Yes,70.0,83.0,NotPlaced
